"geo_code","domain_supermarket_proximity","domain_supermarket_accessibility","domain_ecommerce_access","domain_socio_demographic","domain_nonsupermarket_proximity","domain_food_for_families","domain_fuel_poverty","country","country_denominator","combined","pp_dec_domain_supermarket_proximity","pp_dec_domain_supermarket_accessibility","pp_dec_domain_ecommerce_access","pp_dec_domain_socio_demographic","pp_dec_domain_nonsupermarket_proximity","pp_dec_domain_food_for_families","pp_dec_domain_fuel_poverty","pp_dec_combined"
"E01003513",17288,26362,31036,13136,22591,12561,14759,"E",32843,21015,6,9,10,4,7,4,5,7
"E01003630",5641,22778,25682,2249,26814,16585,3681,"E",32843,10054,2,7,8,1,9,6,2,4
"E01003617",31831,26966,32035,2223,32612,12337,9464,"E",32843,31226,10,9,10,1,10,4,3,10
"E01003497",23769,21828,25682,3993,21507,19402,2419,"E",32843,12907,8,7,8,2,7,6,1,4
"E01003499",30792,30707,3041,1616,26627,19897,2074,"E",32843,21037,10,10,1,1,9,7,1,7
"E01003598",6760,32172,25682,2507,32501,17529,4281,"E",32843,26804,3,10,8,1,10,6,2,9
"E01003526",30695,19380,25682,5693,32744,19703,5302,"E",32843,27991,10,6,8,2,10,6,2,9
"E01003550",20978,25157,22249,5086,26192,18526,3666,"E",32843,14007,7,8,7,2,8,6,2,5
"E01003479",20611,17716,22249,7676,15847,11682,7253,"E",32843,6384,7,6,7,3,5,4,3,2
"E01003608",23701,26697,22249,9197,31950,19360,3046,"E",32843,23280,8,9,7,3,10,6,1,8
"E01003619",31946,28079,22249,1721,32508,15745,3770,"E",32843,28567,10,9,7,1,10,5,2,9
"E01033585",25684,20665,22249,1728,25145,20132,2286,"E",32843,13329,8,7,7,1,8,7,1,5
"E01003557",28766,24111,22249,3489,31735,16428,4389,"E",32843,22652,9,8,7,2,10,6,2,7
"E01003495",20453,17387,22249,12695,32081,17758,6205,"E",32843,20427,7,6,7,4,10,6,2,7
"E01033580",11520,22678,32035,19825,20439,17603,32198,"E",32843,30746,4,7,10,7,7,6,10,10
"E01003528",11740,13957,3041,3357,26087,21045,3199,"E",32843,4552,4,5,1,2,8,7,1,2
"E01003596",14843,21315,22249,5426,32200,17054,3042,"E",32843,18107,5,7,7,2,10,6,1,6
"E01003581",13972,28695,25682,6238,26283,18808,2326,"E",32843,16326,5,9,8,2,9,6,1,5
"E01003508",26020,23818,25682,3801,26060,18633,1067,"E",32843,16489,8,8,8,2,8,6,1,6
"E01003556",30503,28687,22249,1812,26951,17004,3059,"E",32843,21617,10,9,7,1,9,6,1,7
"E01003592",23190,23379,25682,4449,32504,19371,1614,"E",32843,23789,8,8,8,2,10,6,1,8
"E01003593",17299,20324,25682,3596,25579,18833,1535,"E",32843,11401,6,7,8,2,8,6,1,4
"E01003595",20166,30202,3041,2959,32482,19691,3096,"E",32843,22290,7,10,1,1,10,6,1,7
